"","entry.name","protein.description","peptides.rep1","peptides.rep2","psms.rep1","psms.rep2","phenodisco.input","phenodisco.output","curated.phenodisco.output","markers","svm.classification","svm.score","svm.top.quartile","final.assignment","first.evidence","curated.organelles","cytoskeletal.components","trafficking.proteins","protein.complexes","signalling.cascades","oct4.interactome","nanog.interactome","sox2.interactome","cell.surface.proteins","markers2015"
"P28658","ATX10_MOUSE","Ataxin-10 OS=Mus musculus GN=Atxn10 PE=1 SV=2 - [ATX10_MOUSE]",12,14,19,22,"unknown","unknown","unknown","unknown","Cytosol",0.409,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"P50518","VATE1_MOUSE","V-type proton ATPase subunit E 1 OS=Mus musculus GN=Atp6v1e1 PE=1 SV=2 - [VATE1_MOUSE]",12,10,19,17,"unknown","unknown","unknown","unknown","Endosome",0.274,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P57784","RU2A_MOUSE","U2 small nuclear ribonucleoprotein A' OS=Mus musculus GN=Snrpa1 PE=1 SV=2 - [RU2A_MOUSE]",12,13,19,19,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.869,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Small nuclear ribonucleic particles (snRNP)","unknown","unknown","unknown","unknown","unknown","unknown"
"P97384","ANX11_MOUSE","Annexin A11 OS=Mus musculus GN=Anxa11 PE=1 SV=2 - [ANX11_MOUSE]",12,10,19,17,"unknown","unknown","unknown","unknown","Cytosol",0.499,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q61024","glutamine-hydrolyzing","Asparagine synthetase [glutamine-hydrolyzing] OS=Mus musculus GN=Asns PE=2 SV=3 - [ASNS_MOUSE]",12,15,19,27,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.905,"Cytosol","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BH57","WDR48_MOUSE","WD repeat-containing protein 48 OS=Mus musculus GN=Wdr48 PE=1 SV=1 - [WDR48_MOUSE]",12,18,19,27,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.383,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8R2Q4-3","RRF2M_MOUSE","Isoform 3 of Ribosome-releasing factor 2, mitochondrial OS=Mus musculus GN=Gfm2 - [RRF2M_MOUSE]",12,16,19,22,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q8VCN5","CGL_MOUSE","Cystathionine gamma-lyase OS=Mus musculus GN=Cth PE=1 SV=1 - [CGL_MOUSE]",12,11,19,15,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.875,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9DBG5","PLIN3_MOUSE","Perilipin-3 OS=Mus musculus GN=Plin3 PE=1 SV=1 - [PLIN3_MOUSE]",12,14,19,22,"unknown","unknown","unknown","unknown","Cytosol",0.78,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O35604","NPC1_MOUSE","Niemann-Pick C1 protein OS=Mus musculus GN=Npc1 PE=1 SV=2 - [NPC1_MOUSE]",12,11,18,14,"unknown","unknown","unknown","unknown","Lysosome",0.794,"Lysosome","Lysosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O35887","CALU_MOUSE","Calumenin OS=Mus musculus GN=Calu PE=1 SV=1 - [CALU_MOUSE]",12,11,18,28,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"P27641","XRCC5_MOUSE","X-ray repair cross-complementing protein 5 OS=Mus musculus GN=Xrcc5 PE=2 SV=4 - [XRCC5_MOUSE]",12,12,18,17,"unknown","unknown","unknown","unknown","Mitochondrion",0.177,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown"
"P48193","41_MOUSE","Protein 4.1 OS=Mus musculus GN=Epb41 PE=1 SV=2 - [41_MOUSE]",12,14,18,25,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.824,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q3V1H1","CKAP2_MOUSE","Cytoskeleton-associated protein 2 OS=Mus musculus GN=Ckap2 PE=2 SV=1 - [CKAP2_MOUSE]",12,6,18,8,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.765,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6PA06","ATLA2_MOUSE","Atlastin-2 OS=Mus musculus GN=Atl2 PE=1 SV=1 - [ATLA2_MOUSE]",12,13,18,21,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q6PDM2","SRSF1_MOUSE","Serine/arginine-rich splicing factor 1 OS=Mus musculus GN=Srsf1 PE=1 SV=3 - [SRSF1_MOUSE]",12,11,18,20,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.612,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Spliceosome","unknown","unknown","unknown","unknown","unknown","unknown"
"Q80X41-5","VRK1_MOUSE","Isoform 5 of Serine/threonine-protein kinase VRK1 OS=Mus musculus GN=Vrk1 - [VRK1_MOUSE]",12,12,18,14,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.613,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BFY9-2","TNPO1_MOUSE","Isoform 2 of Transportin-1 OS=Mus musculus GN=Tnpo1 - [TNPO1_MOUSE]",12,9,18,17,"unknown","unknown","unknown","unknown","Proteasome",0.713,"Proteasome","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BG05","ROA3_MOUSE","Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1 - [ROA3_MOUSE]",12,15,18,26,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.825,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BK64","AHSA1_MOUSE","Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus GN=Ahsa1 PE=2 SV=2 - [AHSA1_MOUSE]",12,15,18,21,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.825,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8R2N2","CIR1A_MOUSE","Cirhin OS=Mus musculus GN=Cirh1a PE=2 SV=3 - [CIR1A_MOUSE]",12,12,18,21,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Non-chromatin"
"Q922U1","PRPF3_MOUSE","U4/U6 small nuclear ribonucleoprotein Prp3 OS=Mus musculus GN=Prpf3 PE=1 SV=1 - [PRPF3_MOUSE]",12,13,18,17,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.798,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Small nuclear ribonucleic particles (snRNP)","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9EQ20","acylating","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1 - [MMSA_MOUSE]",12,12,18,17,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"P29758","OAT_MOUSE","Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1 - [OAT_MOUSE]",12,8,17,13,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"P70122","SBDS_MOUSE","Ribosome maturation protein SBDS OS=Mus musculus GN=Sbds PE=1 SV=4 - [SBDS_MOUSE]",12,6,17,8,"unknown","unknown","unknown","unknown","60S Ribosome",0.655,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P70279","SURF6_MOUSE","Surfeit locus protein 6 OS=Mus musculus GN=Surf6 PE=2 SV=1 - [SURF6_MOUSE]",12,12,17,17,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.934,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6PAC3","DCA13_MOUSE","DDB1- and CUL4-associated factor 13 OS=Mus musculus GN=Dcaf13 PE=2 SV=2 - [DCA13_MOUSE]",12,12,17,19,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Non-chromatin"
"Q8BP48","AMPM1_MOUSE","Methionine aminopeptidase 1 OS=Mus musculus GN=Metap1 PE=2 SV=1 - [AMPM1_MOUSE]",12,10,17,13,"unknown","unknown","unknown","unknown","60S Ribosome",0.432,"60S Ribosome","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8C570","RAE1L_MOUSE","mRNA export factor OS=Mus musculus GN=Rae1 PE=1 SV=1 - [RAE1L_MOUSE]",12,9,17,14,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.593,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8VCB1","NDC1_MOUSE","Nucleoporin NDC1 OS=Mus musculus GN=Tmem48 PE=2 SV=1 - [NDC1_MOUSE]",12,10,17,14,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.613,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CYH6","RRS1_MOUSE","Ribosome biogenesis regulatory protein homolog OS=Mus musculus GN=Rrs1 PE=2 SV=1 - [RRS1_MOUSE]",12,9,17,15,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Non-chromatin"
"Q9DC61","MPPA_MOUSE","Mitochondrial-processing peptidase subunit alpha OS=Mus musculus GN=Pmpca PE=1 SV=1 - [MPPA_MOUSE]",12,13,17,19,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q9JK30","ORC3_MOUSE","Origin recognition complex subunit 3 OS=Mus musculus GN=Orc3 PE=1 SV=1 - [ORC3_MOUSE]",12,12,17,14,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","Origin recognition complex (ORC)","unknown","unknown","unknown","unknown","unknown","Nucleus - Chromatin"
"P16330","CN37_MOUSE","2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Mus musculus GN=Cnp PE=1 SV=3 - [CN37_MOUSE]",12,10,16,10,"unknown","unknown","unknown","unknown","Plasma membrane",0.839,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P54754","EPHB3_MOUSE","Ephrin type-B receptor 3 OS=Mus musculus GN=Ephb3 PE=1 SV=2 - [EPHB3_MOUSE]",12,14,16,20,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.904,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q3UJD6-2","UBP19_MOUSE","Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 19 OS=Mus musculus GN=Usp19 - [UBP19_MOUSE]",12,9,16,12,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.199,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q60770","STXB3_MOUSE","Syntaxin-binding protein 3 OS=Mus musculus GN=Stxbp3 PE=1 SV=1 - [STXB3_MOUSE]",12,14,16,23,"unknown","unknown","unknown","unknown","Plasma membrane",0.888,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q61655","DD19A_MOUSE","ATP-dependent RNA helicase DDX19A OS=Mus musculus GN=Ddx19a PE=2 SV=2 - [DD19A_MOUSE]",12,12,16,17,"unknown","unknown","unknown","unknown","60S Ribosome",0.307,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q62165","DAG1_MOUSE","Dystroglycan OS=Mus musculus GN=Dag1 PE=1 SV=4 - [DAG1_MOUSE]",12,9,16,15,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"Q9JMH6-2","TRXR1_MOUSE","Isoform 2 of Thioredoxin reductase 1, cytoplasmic OS=Mus musculus GN=Txnrd1 - [TRXR1_MOUSE]",12,12,16,15,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.908,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q32NY4","CNNM3_MOUSE","Metal transporter CNNM3 OS=Mus musculus GN=Cnnm3 PE=1 SV=2 - [CNNM3_MOUSE]",12,12,15,16,"unknown","unknown","unknown","unknown","Plasma membrane",0.318,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q64127-2","TIF1A_MOUSE","Isoform Short of Transcription intermediary factor 1-alpha OS=Mus musculus GN=Trim24 - [TIF1A_MOUSE]",12,13,15,15,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.823,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6P9J9","ANO6_MOUSE","Anoctamin-6 OS=Mus musculus GN=Ano6 PE=1 SV=1 - [ANO6_MOUSE]",12,12,15,18,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.815,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BPU7","ELMO1_MOUSE","Engulfment and cell motility protein 1 OS=Mus musculus GN=Elmo1 PE=1 SV=2 - [ELMO1_MOUSE]",12,8,15,12,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.216,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BVE3","VATH_MOUSE","V-type proton ATPase subunit H OS=Mus musculus GN=Atp6v1h PE=1 SV=1 - [VATH_MOUSE]",12,13,15,26,"unknown","unknown","unknown","unknown","Endosome",0.239,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q8R3C6","RBM19_MOUSE","Probable RNA-binding protein 19 OS=Mus musculus GN=Rbm19 PE=1 SV=1 - [RBM19_MOUSE]",12,15,15,18,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.928,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q920A7","AFG31_MOUSE","AFG3-like protein 1 OS=Mus musculus GN=Afg3l1 PE=2 SV=2 - [AFG31_MOUSE]",12,10,15,13,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q99LM2","CK5P3_MOUSE","CDK5 regulatory subunit-associated protein 3 OS=Mus musculus GN=Cdk5rap3 PE=2 SV=1 - [CK5P3_MOUSE]",12,20,15,24,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.948,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P58802","TB10A_MOUSE","TBC1 domain family member 10A OS=Mus musculus GN=Tbc1d10a PE=1 SV=1 - [TB10A_MOUSE]",12,10,14,12,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.827,"Plasma membrane","Plasma membrane","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6NZF1","ZC11A_MOUSE","Zinc finger CCCH domain-containing protein 11A OS=Mus musculus GN=Zc3h11a PE=1 SV=1 - [ZC11A_MOUSE]",12,14,14,16,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.561,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6PGC1","DHX29_MOUSE","ATP-dependent RNA helicase Dhx29 OS=Mus musculus GN=Dhx29 PE=2 SV=1 - [DHX29_MOUSE]",12,31,14,38,"unknown","unknown","unknown","unknown","40S Ribosome",0.488,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6Y7W8","PERQ2_MOUSE","PERQ amino acid-rich with GYF domain-containing protein 2 OS=Mus musculus GN=Gigyf2 PE=1 SV=2 - [PERQ2_MOUSE]",12,22,14,30,"unknown","unknown","unknown","unknown","40S Ribosome",0.449,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BJY1","PSMD5_MOUSE","26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus GN=Psmd5 PE=1 SV=4 - [PSMD5_MOUSE]",12,11,14,15,"Proteasome","Proteasome","Proteasome","Proteasome","Proteasome",1,"Proteasome","Proteasome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Proteasome"
"Q8BMA6","SRP68_MOUSE","Signal recognition particle 68 kDa protein OS=Mus musculus GN=Srp68 PE=2 SV=2 - [SRP68_MOUSE]",12,14,14,18,"unknown","unknown","unknown","unknown","Proteasome",0.144,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BX17","GEMI5_MOUSE","Gem-associated protein 5 OS=Mus musculus GN=Gemin5 PE=1 SV=2 - [GEMI5_MOUSE]",12,21,14,25,"unknown","40S Ribosome","unknown","unknown","40S Ribosome",0.818,"40S Ribosome","40S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8R3N6","THOC1_MOUSE","THO complex subunit 1 OS=Mus musculus GN=Thoc1 PE=1 SV=1 - [THOC1_MOUSE]",12,11,14,12,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.937,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","THO complex","unknown","unknown","unknown","unknown","unknown","unknown"
"Q91YE6","IPO9_MOUSE","Importin-9 OS=Mus musculus GN=Ipo9 PE=1 SV=3 - [IPO9_MOUSE]",12,12,14,16,"unknown","Proteasome","unknown","unknown","Proteasome",0.676,"Proteasome","unknown","N","unknown","unknown","Importin","Importin","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9ER74","SALL1_MOUSE","Sal-like protein 1 OS=Mus musculus GN=Sall1 PE=1 SV=1 - [SALL1_MOUSE]",12,4,14,4,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","Prey","Prey","Prey","unknown","Nucleus - Chromatin"
"Q9QY06-2","MYO9B_MOUSE","Isoform 2 of Unconventional myosin-IXb OS=Mus musculus GN=Myo9b - [MYO9B_MOUSE]",12,17,14,21,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.503,"Actin cytoskeleton","Actin cytoskeleton","N","unknown","Unconventional Myosin","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P70336","ROCK2_MOUSE","Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 - [ROCK2_MOUSE]",12,28,13,33,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.266,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q00PI9","HNRL2_MOUSE","Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Mus musculus GN=Hnrnpul2 PE=1 SV=2 - [HNRL2_MOUSE]",12,17,13,24,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.916,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q3TWN3","CNNM2_MOUSE","Metal transporter CNNM2 OS=Mus musculus GN=Cnnm2 PE=1 SV=3 - [CNNM2_MOUSE]",12,19,13,21,"unknown","unknown","unknown","unknown","Plasma membrane",0.53,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q5SXY1-3","CYTSB_MOUSE","Isoform 4 of Cytospin-B OS=Mus musculus GN=Specc1 - [CYTSB_MOUSE]",12,15,13,18,"unknown","unknown","unknown","unknown","Plasma membrane",0.737,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"B1AY13","UBP24_MOUSE","Ubiquitin carboxyl-terminal hydrolase 24 OS=Mus musculus GN=Usp24 PE=1 SV=1 - [UBP24_MOUSE]",12,14,12,16,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.302,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q61210-2","ARHG1_MOUSE","Isoform 2 of Rho guanine nucleotide exchange factor 1 OS=Mus musculus GN=Arhgef1 - [ARHG1_MOUSE]",12,15,12,16,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.411,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BXQ2","PIGT_MOUSE","GPI transamidase component PIG-T OS=Mus musculus GN=Pigt PE=1 SV=2 - [PIGT_MOUSE]",12,9,12,11,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.933,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P43276","H15_MOUSE","Histone H1.5 OS=Mus musculus GN=Hist1h1b PE=1 SV=2 - [H15_MOUSE]",11,10,58,57,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Chromatin"
"P62751","RL23A_MOUSE","60S ribosomal protein L23a OS=Mus musculus GN=Rpl23a PE=1 SV=1 - [RL23A_MOUSE]",11,9,39,33,"60S Ribosome","60S Ribosome","60S Ribosome","60S Ribosome","60S Ribosome",1,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","60S Ribosome"
"P97370","AT1B3_MOUSE","Sodium/potassium-transporting ATPase subunit beta-3 OS=Mus musculus GN=Atp1b3 PE=1 SV=1 - [AT1B3_MOUSE]",11,11,36,47,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.888,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O88811","STAM2_MOUSE","Signal transducing adapter molecule 2 OS=Mus musculus GN=Stam2 PE=1 SV=1 - [STAM2_MOUSE]",11,16,33,36,"unknown","unknown","unknown","unknown","Endosome",0.443,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P63325","RS10_MOUSE","40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1 - [RS10_MOUSE]",11,9,33,27,"40S Ribosome","40S Ribosome","40S Ribosome","40S Ribosome","40S Ribosome",1,"40S Ribosome","40S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","40S Ribosome"
"Q8BP67","RL24_MOUSE","60S ribosomal protein L24 OS=Mus musculus GN=Rpl24 PE=2 SV=2 - [RL24_MOUSE]",11,10,33,27,"60S Ribosome","60S Ribosome","60S Ribosome","60S Ribosome","60S Ribosome",1,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","60S Ribosome"
"P30681","HMGB2_MOUSE","High mobility group protein B2 OS=Mus musculus GN=Hmgb2 PE=1 SV=3 - [HMGB2_MOUSE]",11,15,29,30,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Chromatin"
"P97855","G3BP1_MOUSE","Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1 - [G3BP1_MOUSE]",11,11,28,27,"unknown","unknown","unknown","unknown","40S Ribosome",0.63,"40S Ribosome","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
